feature,mean_abs_contribution
PAY_0,0.47060418
LIMIT_BAL,0.19077118
BILL_AMT1,0.15477313
PAY_AMT2,0.13143905
PAY_2,0.13019128
PAY_AMT1,0.09318161
PAY_AMT3,0.0891041
PAY_3,0.07830897
BILL_AMT3,0.07416656
PAY_AMT6,0.07385246
PAY_6,0.05542135
BILL_AMT2,0.04883399
PAY_AMT4,0.045657806
PAY_5,0.044839118
PAY_4,0.039249707
BILL_AMT4,0.035809558
BILL_AMT5,0.032095663
PAY_AMT5,0.028767394
BILL_AMT6,0.018542925
