policy,threshold,approval_rate,approved_default_rate,expected_cost,expected_profit
naive_0_5_cutoff,0.5,0.8749333333333333,0.15665955501371534,0.7262666666666666,0.052533333333333335
cost_based_threshold,0.15075376884422112,0.5314666666666666,0.09407927747114903,0.5473333333333333,0.23146666666666665
